Artist, Spotify_ID
Post Malone,246dkjvS1zLTtiykXe5h60
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
Khalid,6LuN9FCkKOj5PcnpouEgny
Drake,3TVXtAsR1Inumwj472S9r4
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
Halsey,26VFTg2z8YR0cCuwLzESi2
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
Cardi B,4kYSro6naA4h99UJvo89HB
DaBaby,4r63FhuTkUYltbVAg5TQnk
BTS,3Nrfpe0tUJi4K4DXYWgMUX
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
Luke Combs,718COspgdWOnwOFpJHRZHS
Lil Baby,5f7VJjfbwm532GiveGC0ZK
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
Lizzo,56oDRnqbIiwx4mymNEv7dS
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa
Eminem,7dGJo4pcD2V6oG8kP0tJRR
J Cole,6l3HvQ5sa6mXTsMTB19rO5
Logic,4xRYI6VqpkE3UwrDrAZL8L
Future,1RyvyyTE3xzB2ZywiAwp0i
Meek Mill,20sxb77xiYeusSH8cVdatc
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Maroon 5,04gDigrS5kc9YWfZHwBETP
Justin Beiber,1uNFoZAHBGtllmzznpCI3s
